唛头,快递单号,品名,件数,实际计算重量,实际收款泰铢,发货日期,快递状态
666-小良,465579066635153,日用品,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-小良,9818585326574,衣物,1,0.8,80,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-鞋吧,465574378752441,日用品,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-鞋吧,JT5513459917574,磨牙棒,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-鞋吧,JT5513383276977,日用品,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-长歌,79024691287128,干果,1,13,1300,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-长歌,79024691613292,干果,1,13.34,1334,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-长歌,JT3173264360638,枕头,1,0.8,80,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ps,JT3173170995556,日用品,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ps,777434459049859,洗护用品,1,2.549166667,254.9166667,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-xm莫,777434438459046,雨伞,1,0.8,80,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-xm莫,YT0701985985373,衣物,1,1.4,140,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-林启/李杰,73721275801139,茶叶,1,5.1,663,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-林启,73600660729413,食品,1,6.5,650,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-内马尔,773435805172139,袜子,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-内马尔,79024172013177,衣物,1,0.7,70,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-四姑妈,435305805615443,衣物,1,0.6,60,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-四姑妈,79024598930236,鼠标,1,1.136666667,113.6666667,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-小邓,SF1570951328444,苹果手机,1,0.5,1000,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-小邓,9822951466472,手机壳,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-新哈喽,SF1464370349900,干果,1,16.33333333,2123.333333,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-新哈喽,772075219502333,干果,1,13,1690,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-鱼鱼,321288766692133,日用品,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
