唛头,快递单号,品名,件数,实际计算重量,实际收款泰铢,发货日期,快递状态
666-tsen,YT7638262487653,收纳盒,1,1.4,140,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-tsen,79025550583123,垫子,1,10.25066667,1025.066667,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-tsen,79025550583116,垫子,1,10.25066667,1025.066667,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-小邓,9818622926013,刀具,1,0.2,20,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-小邓,9818621844703,挂钩,1,0.2,20,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-小邓,YT8893283959472,日用品,1,0.1,10,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-小邓,9818623256636,日用品,1,0.1,10,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-hjcb,JT5514841107532,日用品,1,0.5,50,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-hjcb,79131014695908,五金工具,1,0.6,60,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-hjcb,S20753084188001,调料,1,27.2,2720,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-ziyu,YT7638437884647,五金配件,1,16.5,1650,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-ziyu,435309793558223,遮阳棚,1,2.5,250,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-ziyu,435309792764790,遮阳棚,1,2.5,250,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-江芄,YT7638088289424,食品,1,4.14,414,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-江芄,YT7638088620322,食品,1,4.14,414,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-江芄,770339219322921,日用品,1,1.591333333,159.1333333,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-ayla,YT0702677583248,食品,1,1.014,101.4,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-ayla,JT5514827895047,食品,1,0.4,40,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-cgw,YT0064096513382,包包,1,0.4,40,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-cgw,76966848606985,配件,1,0.4,40,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-jian,JT2202755161677,食品,1,1.43,143,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-jian,76966979697705,食品,1,0.5,50,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-mich,YT7638113138121,滤清器,1,4.3,430,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-mich,DPK212598436358,五金配件,1,8.5,850,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
